large_category,medium_category,detail_category,body,description
large_unknown,アイシールド21,ナレーション,"常識で考えれば、セナに決まっている
だが――だからこそ裏をかくのがヒル魔
その一瞬の疑念、裏があるから表が活きる",
large_unknown,アイシールド21,小早川瀬那,"…この試合で分かった事がある
ずっとモン太や桜庭さんを見てて――いや、進さんだって阿含さんだってみんな
アメフト選手はフィールドに立ったら、勝てるかもなんて口にしないんだ
自信なんて無くたって、胸張って言わなくちゃいけない
「俺が勝つ!」　「俺が最強だ!」って",
large_unknown,アイシールド21,蛭魔妖一,"執念だ
死んでも闘いてぇ、勝ちてえっつう――
奴が一番勝率が高え、そう読んだだけだ",
large_unknown,アイシールド21,葉柱ルイ,俺とお前と何が違うっつうんだよ!!,
large_unknown,アイシールド21,小判鮫,　　　今までで…一番……楽しかった・・・・・！,
large_unknown,アイシールド21,蛭魔妖一,　　　１％負けるんだぞ・・・,
large_unknown,アイシールド21,小早川瀬那,逃げる?・・・・違う!勝つんだ！！！,
large_unknown,アイシールド21,蛭魔妖一,この世に無敵の奴なんざいねえ！,
large_unknown,アイシールド21,蛭魔妖一,"…ないもんねだりしてるほどヒマじゃねえ
あるもんで最強の闘い方探ってくんだよ
一生な",
large_unknown,アイシールド21,蛭魔妖一,"小市民達は
いつも
挑戦者を笑う",
large_unknown,アイシールド21,小早川瀬那,"理想とは違っちゃったけど 今のがもっと楽しい
そういうことだってあるよ！",
large_unknown,アイシールド21,小早川瀬那,"最強は進さんです
決勝で会うんだ
他の人になんか負けない！",
large_unknown,アイシールド21,小早川瀬那,"アメフト選手は フィールドに立ったら
勝てるかも なんて 口にしないんだ",
large_unknown,アイシールド21,進清十郎,"触れもしないスピードには
どんなパワーも通用しない",
large_unknown,アイシールド21,十文字一輝,負けっぱなしは趣味じゃねえんだ！,
large_unknown,アイシールド21,武蔵厳,"最後まで倒れねぇで立ってられんのは
基礎からしっかり造ったヤツだけだ！",
large_unknown,アイシールド21,蛭魔妖一,0.1秒縮めるのに1年かかったぜ・・・!,
large_unknown,アイシールド21,小早川瀬那,"強くなるんだ
嘘がホントになるように",
large_unknown,アイシールド21,蛭魔妖一,　　　１％負けるんだぞ・・・,
large_unknown,アイシールド21,十文字一輝,負けっぱなしは趣味じゃねえんだ！,
large_unknown,アイシールド21,蛭魔妖一,"…ないもんねだりしてるほどヒマじゃねえ
あるもんで最強の闘い方探ってくんだよ
一生な",
large_unknown,アイシールド21,蛭魔妖一,0.1秒縮めるのに1年かかったぜ・・・!,
large_unknown,アイシールド21,本庄勝,"阿含くん…だよな?
このすげえ攻防見てさ、間近で見たくなったんだろうな
同じ超一流選手として、ただ遠くから眺めんてのがイラついてきた――
熱いよ、そういうの
一番前の席は、そういう選手の為にあんだ",
large_unknown,アイシールド21,我聞悠太,幽霊？いるわけないっしょ,
large_unknown,アイシールド21,成沢稜歌,ウルトラC！,
large_unknown,アイシールド21,大空翼,"まだだ！自分たちで試合時間を決めちゃいけない！
審判の笛がなるまでそれまでの最後の0.1秒までも
試合では全力をつくすんだ！",
large_unknown,アイシールド21,スナフキン,"人の涙をもてあそんだり、人の悲しみをかえりみない者が、
涙を流すなんておかしいじゃないか",
large_unknown,アイシールド21,雪、藤井草平,"雪：あの時草ちゃんを怪我させたのは私・・・わたしなの・・・
草平：知ってた。あの時のオオカミが雪だってこと・・・
　　　　　でも、雪の秘密誰にも言ってない・・・",
large_unknown,アイドルマスター,四条貴音,"出会いは別れの始まり
人と人との間には必ず変化が訪れます",
large_unknown,アイドルマスター,如月千早,"継続的な努力に勝る才能など
あり得ないのですから",
large_unknown,アイドルマスター,如月千早,"プロデューサー、約束してくれますか？
私を一流の歌手にするまでは、絶対に見捨てないと",
large_unknown,アイドルマスター,如月千早,私、最近おもちゃにされているような気がするんですけど・・・,
large_unknown,アイドルマスター,キャッチコピー,きらめく舞台で、また逢える,
large_unknown,アイドルマスター,中村繪里子,"これからも私達と一緒に生きてください
トップアイドルになるまでずーっとずっと
これから先もずっと一緒にいてください
プロデューサーさん！",
