,(このデータベースでリストした数値は100g の可食部です。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,分類,食材の名前,,英語表記,廃棄率(%),カロリー(kcal),修正カロリー(kcal),水分(g),粗タンパク(g),粗脂肪(g),飽和脂肪酸(g),灰分(g),総炭水化物(g),食物繊維(g),糖質の総量(g),ブドウ糖(g),果糖(g),半乳糖(g),麦芽糖(g),蔗糖(g),乳糖(g),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),鉄(mg),亜鉛(mg),リン(mg),銅(ug),ビタミンA総量(I.U.),レチノール活性当量(ug),α-カロテン(ug),β-カロテン(ug),レチノール(ug),α-トコフェロール当量(mg),ビタミンE総量(mg),α-トコフェロール(mg),β-トコフェロール(mg),γ-トコフェロール(mg),δ-トコフェロール(mg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン ((mg),ビタミンB6(mg),ビタミンB12(ug),葉酸(ug),ビタミンC(mg),脂肪酸S総量(%),酪酸(4:0)-成分值(%),己酸(6:0)-成分值(%),辛酸(8:0)-成分值(%),癸酸(10:0)-成分值(%),月桂酸(12:0)-成分值(%),十三酸(13:0)-成分值(%),肉豆蔻酸(14:0)-成分值(%),十五酸(15:0)-成分值(%),棕櫚酸(16:0)-成分值(%),十七酸(17:0)-成分值(%),硬脂酸(18:0)-成分值(%),十九酸(19:0)-成分值(%),花生酸(20:0)-成分值(%),山酸(22:0)-成分值(%),廿四酸(24:0)-成分值(%),脂肪酸M總量-成分值(%),肉豆蔻烯酸(14:1)-成分值(%),棕櫚烯酸(16:1)-成分值(%),油酸(18:1)-成分值(%),鱈烯酸(20:1)-成分值(%),芥子酸(22:1)-成分值(%),脂肪酸P總量-成分值(%),亞麻油酸(18:2)-成分值(%),次亞麻油酸(18:3)-成分值(%),十八碳四烯酸(18:4)-成分值(%),花生油酸(20:4)-成分值(%),廿碳五烯酸(20:5)-成分值(%),廿二碳五烯酸(22:5)-成分值(%),廿二碳六烯酸(22:6)-成分值(%),其他脂肪酸-成分值(%),不飽和脂肪酸(mg),水解胺基酸總量-成分值(mg),天門冬胺酸(Asp)-成分值(mg),酥胺酸(Thr)-成分值(mg),絲胺酸(Ser)-成分值(mg),麩胺酸(Glu)-成分值(mg),脯胺酸(Pro)-成分值(mg),甘胺酸(Gly)-成分值(mg),丙胺酸(Ala)-成分值(mg),胱胺酸(Cys)-成分值(mg),纈胺酸(Val)-成分值(mg),甲硫胺酸(Met)-成分值(mg),異白胺酸(Ile)-成分值(mg),白胺酸(Leu)-成分值(mg),酪胺酸(Tyr)-成分值(mg),苯丙胺酸(Phe)-成分值(mg),離胺酸(Lys)-成分值(mg),組胺酸(His)-成分值(mg),精胺酸(Arg)-成分值(mg),色胺酸(Trp)-成分值(mg),コレステロール.(mg),アルコール(g)
,A00101,穀類,大麦,,Barley,,361.8425,342.9202,12.3023,8.9117,1.5967,0.4163,1.0647,76.1246,8.9256,0,0,0,,0,0,0,14.1587,228.6543,25.6666,49.3449,1.5693,1.2273,154.6765,,0,0,0,0,,0.5071,1.1076,0.4333,0.0233,0.6443,0.0067,0.16,0.043,3.3087,0.2201,,55.9443,0.2,26.0738,0,0,0.0185,0.0115,0.033,0,0.116,0.03,23.3546,0.035,2.0676,0,0.096,0.108,0.2036,9.9981,0,0.0475,9.1216,0.2035,0.6255,63.9042,60.3778,3.5264,0,0,0,0,0,0.023,,8158.8437,456.1593,277.4867,362.8747,2158.0287,1006.4407,324.4583,311.479,247.494,397.7893,76.496,280.799,574.8087,243.1687,421.2903,288.459,254.5413,386.951,90.119,,
,A00601,穀類,小麦,,Wheat,,361.6418,337.7443,12.63,14.118,2.565,0.4667,1.5192,69.1678,11.2724,,,,,,,,1.37,364.35,18.875,137.285,3.39,2.998,240.805,,0,0,0,0,,1.6527,3.495,1.27,0.555,1.6,0.07,0.411,0.095,5.39,0.2655,,73.3,5.115,18.1957,0,0,0,0,0,0,0,0,17.1786,0,1.0171,0,0,0,0,17.8589,0,0,17.0288,0.8301,0,63.9453,59.5058,4.4395,0,0,0,0,0,0,,15029.4295,711.15,426.415,689.815,4739.325,1899.33,606.19,501.73,574.2395,588.265,184.92,493.165,1023.88,456.78,710.825,396.9,357.175,669.325,0,,
,A00801,穀類,餃子の皮,,Dumpling skin,,263.5227,260.6173,32.976,7.7565,0.5075,0,1.7777,56.9823,1.4527,,,,,,,,628.8046,65.1111,12.5152,16.401,0.5809,0.3141,52.1177,,0,0,0,0,,0.0155,0.08,0.005,0.01,0.065,0,0.049,0.018,0.533,0.05,,26.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8880.6746,327.0095,219.5895,399.69,3044.521,1049.5885,286.5685,258.8425,751.3616,327.9955,65.5375,287.4095,593.009,194.4165,390.8925,168.532,168.6095,237.4515,109.65,,
,A01101,穀類,小麦粉,,Medium-gluten flour; Wheat flour: medium protein,,361.0283,357.1774,12.635,11.4535,1.31,0.2763,0.5043,74.0972,1.8165,,,,,,,,3.65,124.835,11.67,28.77,0.915,0.6825,75.86,,0,0,0,0,,0.3335,0.845,0.225,0.155,0.465,0,0.123,0.075,1.01,0.0818,,43.8,5.08,21.0886,0,0,0,0,0,0,0.0937,0,19.1661,0,1.1748,0,0.1527,0.2601,0.2412,16.1348,0,0.1277,15.2884,0.7187,0,62.776,59.3297,3.4463,0,0,0,0,0,0,,13036.8373,509.97,335.34,579.78,4576.1,1690.73,452.835,383.64,441.7523,525.205,148.96,455.74,897.835,389.02,625.91,267.37,282.335,474.315,0,,
,A01702,穀類,ラーメン,,Noodle: Ramen,,292.2838,289.6736,26.6,9.108,0.815,,1.3478,62.1292,1.3051,,,,,,,,428.965,77.325,9.28,15.37,0.53,0.607,105.8,,0,0,0,0,,0.0918,0.285,0.065,0.025,0.165,0.03,0.047,0.02,0.69,0.0384,,18.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8983.3079,344.455,226.405,394.915,3124.76,1114.365,304.47,254.415,365.8429,352.35,105.51,307.725,600.115,261.135,424.21,177.17,194.305,308.91,122.25,,
,A01703,穀類,パスタ,,Noodle:fried,,289.6036,280.5782,26.8,10.069,0.99,,2.0366,60.1044,4.5127,,,,,,,,571.98,249.93,10.38,22.05,1.09,0.812,155.89,,0,0,0,0,0,0.096,0.39,0.05,0.04,0.3,0,0.022,0.69,1.16,0.0571,0.32,22.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10120.5292,389.11,258.21,452.74,3643.8,1181.88,338.44,290.8,444.1392,381.9,115.23,343.15,681.98,272.54,474.69,197.82,212.44,322.98,118.68,2.82,
,A01803,穀類,うどん,,,,125.8991,123.6193,68.645,2.972,0.3623,0.1072,0.3331,27.6876,1.1399,0.381,0,0,,0.381,0,0,864.349,2684.505,1542.974,433.661,32.959,5.27,342.729,,21.6375,2.1643,,12.983,,0.0219,0.057,0.018,0,0.039,0,0.039,0.0046,0.0673,0.012,,6.693,0,29.576,0,0,0,0,0,0,0,0,27.328,0,2.248,0,0,0,0,15.794,0,0,15.794,0,0,54.629,51.989,2.64,0,0,0,0,0,0,,2901.616,118.503,83.081,142.574,1003.235,331.274,110.84,93.418,43.306,115.461,31.927,103.664,212.298,90.12,141.319,67.972,66.818,112.172,33.634,,
,A02201,穀類,コーン,,White corn,,65.8248,57.9808,83.8,3.4,0.64,,0.71,11.45,3.7,,,,,,,,5,200,5,30,0.6,0.7,100,,24.1657,2.4167,9,10,,,,,,,,0.04,0.08,0.8,0.078,,8.6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
